order,schedule,seed,step,task,accuracy
antidevelopmental,staged,0,1500,supplement_fast,47.2
antidevelopmental,staged,0,1750,blimp_fast,50.82
antidevelopmental,staged,0,1750,entity_tracking_fast,19.02
antidevelopmental,staged,0,1750,ewok_fast,46.64
antidevelopmental,staged,0,1750,supplement_fast,48.8
antidevelopmental,staged,0,2000,blimp_fast,52.76
antidevelopmental,staged,0,2000,entity_tracking_fast,30.58
antidevelopmental,staged,0,2000,ewok_fast,50.45
antidevelopmental,staged,0,2000,supplement_fast,46.4
antidevelopmental,staged,0,2250,blimp_fast,53.05
antidevelopmental,staged,0,2250,entity_tracking_fast,36.74
antidevelopmental,staged,0,2250,ewok_fast,49.09
antidevelopmental,staged,0,2250,supplement_fast,44.4
antidevelopmental,staged,0,2500,blimp_fast,53.49
antidevelopmental,staged,0,2500,entity_tracking_fast,20.07
antidevelopmental,staged,0,2500,ewok_fast,49.18
antidevelopmental,staged,0,2500,supplement_fast,45.6
antidevelopmental,staged,1,0,blimp_fast,50.08
antidevelopmental,staged,1,0,entity_tracking_fast,42.9
antidevelopmental,staged,1,0,ewok_fast,51.0
antidevelopmental,staged,1,0,supplement_fast,47.2
antidevelopmental,staged,1,250,blimp_fast,51.18
antidevelopmental,staged,1,250,entity_tracking_fast,18.69
antidevelopmental,staged,1,250,ewok_fast,50.55
antidevelopmental,staged,1,250,supplement_fast,44.8
antidevelopmental,staged,1,500,blimp_fast,51.72
antidevelopmental,staged,1,500,entity_tracking_fast,17.03
antidevelopmental,staged,1,500,ewok_fast,49.45
antidevelopmental,staged,1,500,supplement_fast,43.6
antidevelopmental,staged,1,750,blimp_fast,53.58
antidevelopmental,staged,1,750,entity_tracking_fast,19.57
antidevelopmental,staged,1,750,ewok_fast,51.45
antidevelopmental,staged,1,750,supplement_fast,45.2
antidevelopmental,staged,1,1000,blimp_fast,52.68
antidevelopmental,staged,1,1000,entity_tracking_fast,20.51
antidevelopmental,staged,1,1000,ewok_fast,52.27
antidevelopmental,staged,1,1000,supplement_fast,46.8
antidevelopmental,staged,1,1250,blimp_fast,53.1
antidevelopmental,staged,1,1250,entity_tracking_fast,34.59
antidevelopmental,staged,1,1250,ewok_fast,50.0
antidevelopmental,staged,1,1250,supplement_fast,47.6
antidevelopmental,staged,1,1500,blimp_fast,52.97
antidevelopmental,staged,1,1500,entity_tracking_fast,23.82
antidevelopmental,staged,1,1500,ewok_fast,50.0
antidevelopmental,staged,1,1500,supplement_fast,48.8
antidevelopmental,staged,1,1750,blimp_fast,52.19
antidevelopmental,staged,1,1750,entity_tracking_fast,27.7
antidevelopmental,staged,1,1750,ewok_fast,51.73
antidevelopmental,staged,1,1750,supplement_fast,46.0
antidevelopmental,staged,1,2000,blimp_fast,52.11
antidevelopmental,staged,1,2000,entity_tracking_fast,35.25
antidevelopmental,staged,1,2000,ewok_fast,49.36
antidevelopmental,staged,1,2000,supplement_fast,47.2
antidevelopmental,staged,1,2250,blimp_fast,53.24
antidevelopmental,staged,1,2250,entity_tracking_fast,43.28
antidevelopmental,staged,1,2250,ewok_fast,47.73
antidevelopmental,staged,1,2250,supplement_fast,42.8
antidevelopmental,staged,1,2500,blimp_fast,54.03
antidevelopmental,staged,1,2500,entity_tracking_fast,44.26
antidevelopmental,staged,1,2500,ewok_fast,47.73
antidevelopmental,staged,1,2500,supplement_fast,43.6
antidevelopmental,staged,2,0,blimp_fast,50.72
antidevelopmental,staged,2,0,entity_tracking_fast,42.18
antidevelopmental,staged,2,0,ewok_fast,51.91
antidevelopmental,staged,2,0,supplement_fast,49.2
antidevelopmental,staged,2,250,blimp_fast,54.84
antidevelopmental,staged,2,250,entity_tracking_fast,12.52
antidevelopmental,staged,2,250,ewok_fast,52.18
antidevelopmental,staged,2,250,supplement_fast,46.0
antidevelopmental,staged,2,500,blimp_fast,51.78
antidevelopmental,staged,2,500,entity_tracking_fast,27.21
antidevelopmental,staged,2,500,ewok_fast,51.91
antidevelopmental,staged,2,500,supplement_fast,47.2
antidevelopmental,staged,2,750,blimp_fast,56.64
antidevelopmental,staged,2,750,entity_tracking_fast,38.73
antidevelopmental,staged,2,750,ewok_fast,50.82
antidevelopmental,staged,2,750,supplement_fast,44.0
antidevelopmental,staged,2,1000,blimp_fast,54.93
antidevelopmental,staged,2,1000,entity_tracking_fast,16.37
antidevelopmental,staged,2,1000,ewok_fast,50.09
